week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
11,27RYGP,1,0,0,0,4,15,8,1,0,0,0,0,0,0,0,0
11,28RP,,,,,,,,,,,,,,1,1,0
11,29YP,0,72,0,0,230,106,4,5,0,0,0,0,0,0,0,0
11,30GP,0,0,6,0,26,40,8,1,1,0,0,0,0,0,0,0
12,1RYG,59,89,38,0,0,0,4,5,0,0,0,0,0,0,0,0
12,2RYGP,9,5,5,0,22,50,8,1,1,0,0,0,0,0,0,0
12,3RP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
12,4YP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
12,5GP,0,0,7,0,17,50,8,1,1,0,0,0,0,0,0,0
12,6RYG,37,54,26,0,0,0,4,5,0,0,0,0,0,0,0,0
12,7RYGP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
12,8RP,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
12,9YP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
12,10GP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
12,11RYG,26,53,18,0,0,0,4,5,0,1,0,0,0,0,0,0
12,12RYGP,1,0,1,0,1,1,8,1,0,0,0,0,0,0,0,0
12,13RP,,,,,,,,,,,,,,1,1,0
12,14YP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
12,15GP,,,,,,,,,,,,,,1,1,0
12,16RYG,6,12,7,0,0,0,4,5,0,1,0,0,0,0,0,0
12,17RYGP,0,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0
12,18RP,,,,,,,,,,,,,,1,1,0
12,19YP,0,98,0,0,160,97,4,5,0,0,0,0,0,0,0,0
12,20GP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
12,21RYG,38,118,31,60,0,0,4,5,0,0,0,0,0,0,0,0
12,22RYGP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
12,23RP,,,,,,,,,,,,,,1,1,0
12,24YP,,,,,,,,,,,,,,1,1,0
12,25GP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
12,26RYG,46,76,40,140,0,0,4,5,1,0,0,0,0,0,0,0
12,27RYGP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
12,28RP,,,,,,,,,,,,,,1,1,0
12,29YP,0,38,0,0,50,86,8,1,0,0,0,0,0,0,0,0
12,30GP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
13,1RYG,46,67,15,15,0,0,4,5,0,1,0,0,0,0,0,0
13,2RYGP,0,0,0,0,5,2,8,1,1,0,0,0,0,1,0,0
13,3RP,,,,,,,,,,,,,,1,1,0
13,4YP,,,,,,,,,,,,,,1,1,0
13,5GP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
13,6RYG,57,63,16,0,0,0,4,5,0,1,0,0,0,0,0,0
13,7RYGP,,,,,,,,,,,,,,1,1,0
13,8RP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
13,9YP,,,,,,,,,,,,,,1,1,0
13,10GP,,,,,,,,,,,,,,1,1,0
13,11RYG,61,197,53,60,0,0,4,5,0,1,0,0,0,0,0,0
13,12RYGP,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0
13,13RP,,,,,,,,,,,,,,1,1,0
13,14YP,,,,,,,,,,,,,,1,1,0
13,15GP,,,,,,,,,,,,,,1,1,0
13,16RYG,73,155,50,25,0,0,4,5,0,0,0,0,0,0,0,0
13,17RYGP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
13,18RP,,,,,,,,,,,,,,1,1,0
13,19YP,0,10,0,0,35,87,8,1,0,0,0,0,0,0,0,0
13,20GP,,,,,,,,,,,,,,1,1,0
13,21RYG,35,65,35,10,0,0,4,5,0,0,0,0,0,0,0,0
13,22RYGP,,,,,,,,,,,,,,1,1,0
13,23RP,,,,,,,,,,,,,,1,1,0
13,24YP,,,,,,,,,,,,,,1,1,0
13,25GP,,,,,,,,,,,,,,1,1,0
13,26RYG,41,66,39,25,0,0,4,5,1,0,0,0,0,0,0,0
13,27RYGP,,,,,,,,,,,,,,1,1,0
13,28RP,,,,,,,,,,,,,,1,1,0
13,29YP,0,4,0,0,5,5,8,1,0,0,0,0,0,0,0,0
13,30GP,,,,,,,,,,,,,,1,1,0
14,1RYG,95,209,62,0,0,0,4,5,0,0,0,0,0,0,0,0
14,2RYGP,0,0,0,0,0,0,16,1,1,0,0,0,0,1,1,0
14,3RP,,,,,,,,,,,,,,1,1,0
14,4YP,,,,,,,,,,,,,,1,1,0
14,5GP,,,,,,,,,,,,,,1,1,0
14,6RYG,98,203,34,0,0,0,4,5,0,0,0,0,0,0,0,0
14,7RYGP,,,,,,,,,,,,,,1,1,0
14,8RP,,,,,,,,,,,,,,1,1,0
14,9YP,,,,,,,,,,,,,,1,1,0
14,10GP,,,,,,,,,,,,,,1,1,0
14,11RYG,45,115,36,0,0,0,4,5,0,0,0,0,0,0,0,0
14,12RYGP,0,1,1,0,0,0,16,1,0,0,0,0,0,0,1,0
14,13RP,,,,,,,,,,,,,,1,1,0
14,14YP,,,,,,,,,,,,,,1,1,0
14,15GP,,,,,,,,,,,,,,1,1,0
14,16RYG,47,126,23,0,0,0,4,5,0,0,0,0,0,0,0,0
14,17RYGP,,,,,,,,,,,,,,1,1,0
14,18RP,,,,,,,,,,,,,,1,1,0
14,19YP,0,0,0,0,0,1,16,1,0,0,0,0,0,1,0,0
14,20GP,,,,,,,,,,,,,,1,1,0
14,21RYG,92,195,57,0,0,0,4,5,0,0,0,0,0,0,0,0
14,22RYGP,,,,,,,,,,,,,,1,1,0
14,23RP,,,,,,,,,,,,,,1,1,0
14,24YP,,,,,,,,,,,,,,1,1,0
14,25GP,,,,,,,,,,,,,,1,1,0
14,26RYG,79,89,52,0,0,0,4,5,1,0,0,25,16,0,0,0
14,27RYGP,,,,,,,,,,,,,,1,1,0
14,28RP,,,,,,,,,,,,,,1,1,0
14,29YP,0,0,0,0,0,0,16,1,0,0,0,0,0,1,1,0
14,30GP,,,,,,,,,,,,,,1,1,0
