week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
2,21RYG,98,157,107,6,0,0,4,5,0,0,0,0,0,0,0,0
2,22RYGP,121,167,60,3,0,0,4,5,0,0,0,0,0,0,0,0
2,23RP,305,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0
2,24YP,0,372,0,0,0,0,4,5,0,0,0,0,0,0,0,0
2,25GP,0,0,524,3,0,0,4,5,0,0,0,0,0,0,0,0
2,26RYG,192,302,177,6,0,0,4,5,0,0,0,0,0,0,0,0
2,27RYGP,102,216,66,0,0,0,4,5,0,0,0,0,0,0,0,0
2,28RP,353,0,0,8,0,0,4,5,0,0,0,0,0,0,0,0
2,29YP,0,595,0,6,0,0,4,5,0,0,0,0,0,0,0,0
2,30GP,0,0,540,0,0,0,4,5,0,0,0,0,0,0,0,0
3,1RYG,135,180,93,27,0,0,4,5,0,0,0,0,0,0,0,2
3,2RYGP,102,74,52,39,0,0,4,5,0,1,0,0,0,0,0,2
3,3RP,419,0,0,15,0,0,4,5,0,0,0,0,0,0,0,2
3,4YP,0,413,0,31,0,0,4,5,0,0,0,0,0,0,0,2
3,5GP,0,0,363,31,0,0,4,5,0,0,0,0,0,0,0,2
3,6RYG,63,60,47,28,0,0,4,5,0,1,0,0,0,0,0,2
3,7RYGP,103,176,83,74,0,0,4,5,0,0,0,0,0,0,0,2
3,8RP,215,0,0,8,0,0,4,5,0,1,0,0,0,0,0,2
3,9YP,0,245,0,14,0,0,4,5,0,0,0,0,0,0,0,2
3,10GP,0,0,580,11,0,0,4,5,0,0,0,0,0,0,0,2
3,11RYG,80,119,74,44,0,0,4,5,0,1,0,0,0,0,0,2
3,12RYGP,32,43,22,23,0,0,4,5,0,1,0,0,0,0,0,2
3,13RP,213,0,0,42,0,0,4,5,0,1,0,0,0,0,0,2
3,14YP,0,236,0,8,0,0,4,5,0,1,0,0,0,0,0,2
3,15GP,0,0,233,18,0,0,4,5,0,1,0,0,0,0,0,2
3,16RYG,72,69,37,33,0,0,4,5,0,1,0,0,0,0,0,2
3,17RYGP,92,85,28,18,0,0,4,5,0,1,0,0,0,0,0,2
3,18RP,208,0,0,15,0,0,4,5,0,0,0,0,0,0,0,2
3,19YP,0,464,0,18,0,0,4,5,0,0,0,0,0,0,0,2
3,20GP,0,0,679,58,0,0,4,5,0,0,0,0,0,0,0,2
3,21RYG,68,97,78,9,0,0,4,5,0,0,0,0,0,0,0,2
3,22RYGP,92,85,28,18,0,0,4,5,0,0,0,0,0,0,0,2
3,23RP,685,0,0,170,0,0,4,5,0,0,0,0,0,0,0,2
3,24YP,0,350,0,57,0,0,4,5,0,0,0,0,0,0,0,2
3,25GP,0,0,281,77,0,0,4,5,0,0,0,0,0,0,0,2
